Id,SalePrice
1461,133247.67
1462,150330.34
1463,166513.06
1464,176306.95
1465,204416.3
1466,175300.16
1467,163678.45
1468,169578.45
1469,186241.23
1470,117772.25
1471,192695.44
1472,104351.98
1473,100197.48
1474,159036.44
1475,146923.86
1476,405373.94
1477,265928.8
1478,312278.72
1479,296163.0
1480,464889.4
1481,322468.78
1482,209636.81
1483,172846.75
1484,180153.81
1485,151202.08
1486,198072.1
1487,358530.9
1488,263180.8
1489,205746.44
1490,185574.6
1491,195282.84
1492,109789.52
1493,175710.56
1494,312773.47
1495,296654.28
1496,213543.33
1497,198920.92
1498,160399.39
1499,160399.39
1500,149946.75
1501,173594.27
1502,142331.67
1503,269147.7
1504,237189.92
1505,218084.7
1506,199841.78
1507,235796.11
1508,199559.73
1509,164845.81
1510,147254.48
1511,146839.95
1512,171956.28
1513,152280.33
1514,146161.64
1515,187934.8
1516,152588.95
1517,138763.4
1518,168488.4
1519,210830.95
1520,135454.48
1521,139399.4
1522,176625.02
1523,120025.02
1524,119752.336
1525,123218.8
1526,126962.62
1527,89292.56
1528,128602.38
1529,147254.48
1530,155008.28
1531,110726.195
1532,90889.47
1533,152533.52
1534,128262.86
1535,144723.98
1536,107026.68
1537,76339.93
1538,163403.48
1539,179151.55
1540,124657.47
1541,149406.05
1542,142960.3
1543,225137.52
1544,73698.164
1545,104575.03
1546,126576.23
1547,133224.17
1548,134619.47
1549,108612.414
1550,138735.22
1551,125347.34
1552,131561.11
1553,122337.93
1554,119553.9
1555,159525.56
1556,110114.055
1557,114314.26
1558,97670.15
1559,109718.34
1560,138530.16
1561,154157.08
1562,127327.59
1563,121611.02
1564,153607.05
1565,149656.88
1566,208182.83
1567,82217.81
1568,197440.3
1569,129194.4
1570,120199.484
1571,125722.664
1572,138837.39
1573,235943.89
1574,147783.05
1575,200519.89
1576,194500.55
1577,202914.31
1578,124881.52
1579,140051.94
1580,196896.12
1581,130261.086
1582,130264.94
1583,320212.97
1584,237122.3
1585,143607.72
1586,69363.805
1587,99808.37
1588,139399.4
1589,106223.98
1590,135318.28
1591,98785.27
1592,123789.336
1593,121077.66
1594,139380.27
1595,126210.516
1596,254382.48
1597,169247.73
1598,177066.22
1599,187764.25
1600,204397.97
1601,56400.71
1602,119568.266
1603,91133.8
1604,252863.03
1605,252646.1
1606,158742.62
1607,218852.05
1608,202117.45
1609,201336.58
1610,144633.61
1611,141241.28
1612,174227.16
1613,164661.05
1614,125494.11
1615,82911.82
1616,82911.82
1617,91058.82
1618,122100.5
1619,133903.47
1620,208514.05
1621,142248.08
1622,141538.86
1623,267633.7
1624,193865.34
1625,135993.2
1626,171278.38
1627,176306.95
1628,256598.27
1629,170192.48
1630,330127.88
1631,223535.94
1632,243032.27
1633,151202.08
1634,176306.95
1635,171369.38
1636,165803.48
1637,182681.16
1638,213148.81
1639,180501.89
1640,253048.78
1641,171455.53
1642,210442.45
1643,248752.9
1644,233565.64
1645,169380.3
1646,152309.67
1647,176946.2
1648,147254.48
1649,128763.02
1650,116816.18
1651,116816.18
1652,104351.98
1653,105005.26
1654,165518.78
1655,166794.06
1656,160150.23
1657,166677.98
1658,160150.23
1659,146923.86
1660,136831.12
1661,443546.44
1662,432309.16
1663,423521.22
1664,468147.44
1665,350539.3
1666,279537.75
1667,331924.78
1668,358992.78
1669,283573.4
1670,368831.16
1671,231516.95
1672,416955.53
1673,293968.7
1674,263180.8
1675,172846.75
1676,175993.31
1677,189715.39
1678,425487.94
1679,325164.1
1680,361819.1
1681,275649.4
1682,267332.2
1683,183194.08
1684,182656.94
1685,175403.0
1686,183024.34
1687,151202.08
1688,195939.5
1689,195939.5
1690,188753.5
1691,168907.83
1692,250668.98
1693,151202.08
1694,175867.14
1695,162509.73
1696,265126.34
1697,162509.73
1698,365702.03
1699,341371.12
1700,238760.64
1701,281253.16
1702,307562.5
1703,287766.94
1704,282837.7
1705,224911.77
1706,422906.94
1707,216060.5
1708,197290.1
1709,299252.25
1710,232846.62
1711,239034.05
1712,320181.8
1713,235494.75
1714,218766.28
1715,199389.47
1716,189102.5
1717,180153.81
1718,145769.23
1719,203998.38
1720,250197.78
1721,181776.25
1722,131068.695
1723,154049.5
1724,220713.7
1725,227399.16
1726,176757.3
1727,169462.86
1728,190716.19
1729,148768.36
1730,162078.38
1731,130338.13
1732,132674.4
1733,128463.62
1734,128529.055
1735,123532.71
1736,125494.11
1737,300995.34
1738,197824.03
1739,308076.53
1740,220832.67
1741,178858.08
1742,173594.27
1743,183378.83
1744,247763.5
1745,222538.36
1746,224058.62
1747,212081.45
1748,201797.16
1749,148200.23
1750,147598.81
1751,212972.64
1752,121611.02
1753,173655.86
1754,232464.98
1755,156917.02
1756,117137.36
1757,121611.02
1758,128283.41
1759,159412.27
1760,152709.92
1761,150606.0
1762,167391.31
1763,167203.52
1764,123659.78
1765,182765.14
1766,171800.39
1767,182906.73
1768,136969.9
1769,183607.2
1770,134430.23
1771,139399.4
1772,144584.52
1773,131729.33
1774,174339.34
1775,136775.55
1776,115365.75
1777,111860.91
1778,121229.82
1779,125099.06
1780,171730.45
1781,134443.45
1782,99378.68
1783,132011.3
1784,80279.39
1785,111634.87
1786,153361.14
1787,166033.23
1788,55169.64
1789,103495.375
1790,64735.555
1791,227387.45
1792,153708.6
1793,144019.05
1794,139706.84
1795,143421.86
1796,115271.5
1797,136579.52
1798,128763.02
1799,102265.33
1800,112498.52
1801,121422.94
1802,154855.95
1803,171478.42
1804,135596.53
1805,136336.55
1806,123210.92
1807,144406.19
1808,112088.04
1809,108210.85
1810,141902.56
1811,97634.11
1812,112482.54
1813,126378.66
1814,90422.95
1815,63424.637
1816,94952.23
1817,118386.53
1818,137671.33
1819,111827.414
1820,74425.66
1821,126584.8
1822,146371.86
1823,56633.445
1824,138993.06
1825,125254.016
1826,98445.58
1827,107777.26
1828,142960.3
1829,124256.17
1830,149202.86
1831,167726.72
1832,152357.17
1833,161159.14
1834,121623.78
1835,145215.06
1836,155749.48
1837,85076.0
1838,121386.234
1839,76724.35
1840,140462.72
1841,141021.22
1842,96248.4
1843,140934.9
1844,119099.27
1845,136061.44
1846,151503.33
1847,160834.86
1848,55044.297
1849,111415.34
1850,131031.82
1851,150618.2
1852,133582.94
1853,133306.39
1854,172366.25
1855,139904.44
1856,218254.69
1857,124560.98
1858,155224.86
1859,129573.695
1860,152094.98
1861,129573.695
1862,315280.72
1863,315280.72
1864,315280.72
1865,330598.88
1866,350539.3
1867,253016.45
1868,298890.03
1869,191406.77
1870,225509.28
1871,250953.39
1872,171326.73
1873,214420.81
1874,142622.31
1875,203039.95
1876,177825.88
1877,204415.12
1878,219333.44
1879,126214.25
1880,133326.23
1881,226691.11
1882,267575.25
1883,201206.81
1884,211647.45
1885,232793.78
1886,283644.0
1887,193427.3
1888,260146.4
1889,153627.56
1890,125406.77
1891,136538.75
1892,111658.82
1893,125584.375
1894,146247.12
1895,154648.45
1896,122041.36
1897,121137.83
1898,115053.82
1899,122488.99
1900,116372.305
1901,149475.45
1902,139641.17
1903,226682.25
1904,139254.58
1905,183634.34
1906,140835.61
1907,195288.42
1908,119435.5
1909,134736.22
1910,134736.22
1911,177077.03
1912,260227.3
